transaction_id,user_id,merchant_id,amount,timestamp,device_id,is_fraud,user_txn_count,user_avg_amount,amount_deviation,device_user_count,location_Chennai,location_Delhi,location_Hyderabad,location_Mumbai,payment_method_debit_card,payment_method_upi,payment_method_wallet
tx_0,user_367,merchant_281,1610.33,2024-01-01 00:00:00,device_1111,0,1,1610.33,0.9993793946615529,10,False,False,False,True,False,False,True
tx_1,user_786,merchant_248,1780.56,2024-01-01 00:03:00,device_2379,0,1,1780.56,0.999438694178136,6,False,False,False,False,False,True,False
tx_2,user_249,merchant_239,1104.07,2024-01-01 00:10:00,device_503,0,1,1104.07,0.9990950799496865,6,False,True,False,False,False,False,True
tx_3,user_516,merchant_58,414.72,2024-01-01 00:17:00,device_1814,0,1,414.72,0.9975945347830271,9,False,True,False,False,True,False,False
tx_4,user_401,merchant_82,139.68,2024-01-01 00:23:00,device_2268,0,1,139.68,0.9928916690361104,8,False,True,False,False,False,True,False
tx_5,user_100,merchant_91,1676.16,2024-01-01 00:26:00,device_229,0,1,1676.16,0.9994037539650361,7,False,False,False,False,True,False,False
tx_6,user_143,merchant_137,991.4,2024-01-01 00:27:00,device_2266,0,1,991.4,0.9989923417976623,7,False,False,False,False,False,False,False
tx_7,user_230,merchant_109,1653.3,2024-01-01 00:29:00,device_507,0,1,1653.3,0.9993955147192166,9,False,False,False,True,False,False,False
tx_8,user_368,merchant_150,635.48,2024-01-01 00:37:00,device_2170,0,1,635.48,0.9984288587229764,3,False,False,False,True,True,False,False
tx_9,user_506,merchant_137,567.49,2024-01-01 00:44:00,device_843,0,1,567.49,0.9982409541064926,4,False,False,True,False,False,False,True
tx_10,user_863,merchant_220,131.66,2024-01-01 00:50:00,device_231,0,1,131.66,0.9924619327604403,8,False,False,False,True,True,False,False
tx_11,user_143,merchant_241,136.84,2024-01-01 00:52:00,device_2767,0,2,564.12,0.24214326160815403,2,False,False,False,True,False,False,False
tx_12,user_69,merchant_223,380.64,2024-01-01 00:53:00,device_874,0,1,380.64,0.9973797295880935,5,True,False,False,False,False,False,True
tx_13,user_70,merchant_84,1672.42,2024-01-01 00:55:00,device_2199,0,1,1672.42,0.9994024213885336,5,False,False,True,False,True,False,False
tx_14,user_742,merchant_270,1437.13,2024-01-01 00:58:00,device_2556,0,1,1437.13,0.9993046525696564,3,False,False,False,False,False,True,False
tx_15,user_628,merchant_265,278.65,2024-01-01 01:04:00,device_137,0,1,278.65,0.9964241015555159,6,False,False,True,False,False,True,False
tx_16,user_617,merchant_116,162.56,2024-01-01 01:06:00,device_770,0,1,162.56,0.9938860357055515,6,True,False,False,False,False,False,False
tx_17,user_30,merchant_287,50.0,2024-01-01 01:09:00,device_1713,0,1,50.0,0.9803921568627451,7,True,False,False,False,False,False,False
tx_18,user_322,merchant_102,435.51,2024-01-01 01:13:00,device_73,0,1,435.51,0.9977091017387918,4,True,False,False,False,True,False,False
tx_19,user_526,merchant_248,3072.22,2024-01-01 01:18:00,device_992,0,1,3072.22,0.9996746083911988,3,False,False,True,False,True,False,False
tx_20,user_153,merchant_157,2146.71,2024-01-01 01:25:00,device_286,0,1,2146.71,0.9995343877897854,6,False,False,False,True,False,True,False
tx_21,user_255,merchant_2,780.16,2024-01-01 01:33:00,device_509,0,1,780.16,0.9987198525270111,10,False,True,False,False,False,False,True
tx_22,user_924,merchant_25,2233.64,2024-01-01 01:41:00,device_1770,0,1,2233.64,0.9995525006264991,2,False,True,False,False,True,False,False
tx_23,user_258,merchant_46,3431.56,2024-01-01 01:49:00,device_2789,0,1,3431.56,0.9997086722446221,7,False,False,False,False,False,False,True
tx_24,user_441,merchant_170,216.4,2024-01-01 01:52:00,device_564,0,1,216.4,0.9954001839926403,6,True,False,False,False,True,False,False
tx_25,user_504,merchant_94,353.84,2024-01-01 01:59:00,device_981,0,1,353.84,0.9971818284297148,6,True,False,False,False,False,True,False
tx_26,user_624,merchant_292,822.37,2024-01-01 02:05:00,device_2286,0,1,822.37,0.9987854791891859,6,False,False,False,True,True,False,False
tx_27,user_172,merchant_249,342.71,2024-01-01 02:09:00,device_2065,0,1,342.71,0.9970905705391173,3,False,False,False,True,False,False,True
tx_28,user_86,merchant_235,556.43,2024-01-01 02:12:00,device_2359,0,1,556.43,0.9982060527779273,9,False,False,False,True,False,False,False
